WE(1).Current (A)	WE(1).Potential (V)
-0.0002081298828125	-0.95123291015625
-0.000183319091796875	-0.95428466796875
-0.000177490234375	-0.95703125
-0.00017181396484375	-0.95916748046875
-0.00017144775390625	-0.96160888671875
-0.000169158935546875	-0.96343994140625
-0.000169403076171875	-0.96649169921875
-0.000168701171875	-0.96893310546875
-0.000168914794921875	-0.9710693359375
-0.000168609619140625	-0.97442626953125
-0.000168853759765625	-0.97625732421875
-0.00016900634765625	-0.9783935546875
-0.0001697998046875	-0.98114013671875
-0.00016937255859375	-0.98358154296875
-0.000171539306640625	-0.98602294921875
-0.00017071533203125	-0.98876953125
-0.000171844482421875	-0.99029541015625
-0.000175689697265625	-0.99365234375
-0.000171417236328125	-0.99609375
-0.000177978515625	-0.9979248046875
-0.00017645263671875	-1.00067138671875
-0.0001783447265625	-1.0028076171875
-0.000184539794921875	-1.0052490234375
-0.0001815185546875	-1.00830078125
-0.000187652587890625	-1.0101318359375
-0.00018951416015625	-1.01287841796875
-0.0001932373046875	-1.0150146484375
-0.00019952392578125	-1.01715087890625
-0.0002008056640625	-1.02020263671875
-0.00021087646484375	-1.0223388671875
-0.000212677001953125	-1.0247802734375
-0.00022137451171875	-1.0272216796875
-0.000231414794921875	-1.02935791015625
-0.000235504150390625	-1.03302001953125
-0.000250885009765625	-1.03485107421875
-0.0002574462890625	-1.03668212890625
-0.00027362060546875	-1.0394287109375
-0.000286102294921875	-1.0418701171875
-0.000301971435546875	-1.04461669921875
-0.000318939208984375	-1.0467529296875
-0.0003372802734375	-1.04949951171875
-0.000364501953125	-1.05194091796875
-0.0003828125	-1.05438232421875
-0.00041357421875	-1.05682373046875
-0.000438201904296875	-1.05926513671875
-0.000471282958984375	-1.06109619140625
-0.00050262451171875	-1.06414794921875
-0.00054351806640625	-1.06689453125
-0.00057861328125	-1.06842041015625
-0.0006243896484375	-1.07147216796875
-0.00066680908203125	-1.0736083984375
-0.00072021484375	-1.07574462890625
-0.000765380859375	-1.07879638671875
-0.00082427978515625	-1.08123779296875
-0.00087921142578125	-1.08306884765625
-0.000946044921875	-1.0858154296875
-0.0010064697265625	-1.0882568359375
-0.00108154296875	-1.0906982421875
-0.00114776611328125	-1.09283447265625
-0.00122833251953125	-1.09619140625
-0.0013018798828125	-1.09832763671875
-0.00139251708984375	-1.10015869140625
-0.001474609375	-1.1029052734375
-0.001571044921875	-1.10504150390625
-0.00166107177734375	-1.1083984375
-0.001766357421875	-1.1102294921875
-0.0018621826171875	-1.1126708984375
-0.0019757080078125	-1.11480712890625
-0.00208343505859375	-1.11724853515625
-0.00220062255859375	-1.11968994140625
-0.00231231689453125	-1.1224365234375
-0.002432861328125	-1.12457275390625
-0.00256011962890625	-1.1273193359375
-0.0026904296875	-1.12945556640625
-0.00282806396484375	-1.1322021484375
-0.00295623779296875	-1.13494873046875
-0.00308868408203125	-1.13739013671875
-0.003243408203125	-1.138916015625
-0.0033917236328125	-1.14166259765625
-0.00354034423828125	-1.14471435546875
-0.003682861328125	-1.14654541015625
-0.0038446044921875	-1.14898681640625
-0.00399993896484375	-1.15142822265625
-0.00417572021484375	-1.15447998046875
-0.00433685302734375	-1.1566162109375
-0.0045001220703125	-1.15875244140625
-0.00470062255859375	-1.1614990234375
-0.004862060546875	-1.1639404296875
-0.005035400390625	-1.16607666015625
-0.005224609375	-1.16912841796875
-0.005401611328125	-1.17095947265625
-0.005615234375	-1.1737060546875
-0.0057891845703125	-1.17584228515625
-0.00596923828125	-1.1785888671875
-0.0061737060546875	-1.18072509765625
-0.0063751220703125	-1.18377685546875
-0.00660400390625	-1.18560791015625
-0.006805419921875	-1.18804931640625
-0.0070037841796875	-1.1907958984375
-0.0071929931640625	-1.1932373046875
-0.0074127197265625	-1.19537353515625
-0.0076080322265625	-1.19781494140625
-0.0078460693359375	-1.20086669921875
-0.008038330078125	-1.202392578125
-0.00830078125	-1.204833984375
-0.0085235595703125	-1.20758056640625
-0.0087310791015625	-1.2103271484375
-0.0089263916015625	-1.21246337890625
-0.0092041015625	-1.2152099609375
-0.009417724609375	-1.21795654296875
-0.009619140625	-1.21978759765625
-0.0098846435546875	-1.2225341796875
-0.01009521484375	-1.2249755859375
-0.010357666015625	-1.2274169921875
-0.0105987548828125	-1.22955322265625
-0.010797119140625	-1.231689453125
-0.011090087890625	-1.23443603515625
-0.0112945556640625	-1.2371826171875
-0.011541748046875	-1.2396240234375
-0.0118194580078125	-1.24176025390625
-0.01207275390625	-1.24420166015625
-0.01234130859375	-1.24664306640625
-0.012554931640625	-1.24908447265625
-0.012835693359375	-1.25152587890625
-0.01304931640625	-1.253662109375
-0.013323974609375	-1.2567138671875
-0.0135955810546875	-1.25885009765625
-0.0138580322265625	-1.26129150390625
-0.014056396484375	-1.26373291015625
-0.0143768310546875	-1.2664794921875
-0.01458740234375	-1.26861572265625
-0.01484375	-1.270751953125
-0.01513671875	-1.27349853515625
-0.01539306640625	-1.275634765625
-0.01566162109375	-1.278076171875
-0.0159515380859375	-1.280517578125
-0.01622314453125	-1.2835693359375
-0.016522216796875	-1.2860107421875
-0.016705322265625	-1.2884521484375
