WE(1).Current (A)	WE(1).Potential (V)
-0.000139556884765625	-0.95184326171875
-0.0001190185546875	-0.953369140625
-0.000117889404296875	-0.9564208984375
-0.000109771728515625	-0.9588623046875
-0.00011236572265625	-0.9613037109375
-0.00010662841796875	-0.963134765625
-0.000109405517578125	-0.96649169921875
-0.000105865478515625	-0.9686279296875
-0.000107421875	-0.9710693359375
-0.0001055908203125	-0.9735107421875
-0.000105804443359375	-0.975341796875
-0.0001058349609375	-0.97808837890625
-0.000104949951171875	-0.9808349609375
-0.00010626220703125	-0.9832763671875
-0.0001043701171875	-0.98602294921875
-0.000106964111328125	-0.98785400390625
-0.000103912353515625	-0.9906005859375
-0.00010693359375	-0.99212646484375
-0.000104248046875	-0.9954833984375
-0.000106842041015625	-0.9979248046875
-0.00010479736328125	-0.999755859375
-0.000107147216796875	-1.0028076171875
-0.00010552978515625	-1.004638671875
-0.000107513427734375	-1.00830078125
-0.000106658935546875	-1.0101318359375
-0.00010791015625	-1.01226806640625
-0.00010809326171875	-1.0150146484375
-0.000109649658203125	-1.016845703125
-0.00010870361328125	-1.0198974609375
-0.0001134033203125	-1.02203369140625
-0.000109222412109375	-1.0247802734375
-0.00011553955078125	-1.02691650390625
-0.000113037109375	-1.02935791015625
-0.000117401123046875	-1.03179931640625
-0.000117279052734375	-1.03424072265625
-0.00012091064453125	-1.03668212890625
-0.000121917724609375	-1.03912353515625
-0.00012591552734375	-1.0418701171875
-0.000128692626953125	-1.04461669921875
-0.00013287353515625	-1.04736328125
-0.000136566162109375	-1.04949951171875
-0.00014105224609375	-1.05133056640625
-0.00014642333984375	-1.0540771484375
-0.0001519775390625	-1.0565185546875
-0.0001575927734375	-1.05926513671875
-0.00016571044921875	-1.06109619140625
-0.00017138671875	-1.06353759765625
-0.000183074951171875	-1.0662841796875
-0.0001900634765625	-1.06842041015625
-0.0002041015625	-1.07086181640625
-0.00021160888671875	-1.072998046875
-0.000229400634765625	-1.07635498046875
-0.0002371826171875	-1.07879638671875
-0.000257904052734375	-1.0809326171875
-0.000270111083984375	-1.0833740234375
-0.000292938232421875	-1.08642578125
-0.00030657958984375	-1.0882568359375
-0.000333709716796875	-1.09100341796875
-0.000349334716796875	-1.0931396484375
-0.0003798828125	-1.09527587890625
-0.000400299072265625	-1.0980224609375
-0.000434234619140625	-1.1004638671875
-0.000458526611328125	-1.10198974609375
-0.0004962158203125	-1.10565185546875
-0.00052734375	-1.1077880859375
-0.00056793212890625	-1.1102294921875
-0.0006024169921875	-1.11297607421875
-0.0006494140625	-1.11480712890625
-0.00068878173828125	-1.1175537109375
-0.00074066162109375	-1.1199951171875
-0.0007867431640625	-1.123046875
-0.0008392333984375	-1.12457275390625
-0.00089508056640625	-1.126708984375
-0.0009515380859375	-1.13006591796875
-0.00101287841796875	-1.1322021484375
-0.0010760498046875	-1.134033203125
