WE(1).Current (A)	WE(1).Potential (V)
-0.00027313232421875	-0.95123291015625
-0.000217376708984375	-0.9539794921875
-0.000244537353515625	-0.9564208984375
-0.000208343505859375	-0.9588623046875
-0.000222930908203125	-0.96099853515625
-0.000226348876953125	-0.965576171875
-0.00020086669921875	-0.96588134765625
-0.000235443115234375	-0.9686279296875
-0.000197357177734375	-0.97198486328125
-0.000221343994140625	-0.9735107421875
-0.00021075439453125	-0.9771728515625
-0.00020654296875	-0.9783935546875
-0.000228607177734375	-0.9808349609375
-0.000193634033203125	-0.98419189453125
-0.00023004150390625	-0.9857177734375
-0.00019378662109375	-0.9881591796875
-0.00021954345703125	-0.9912109375
-0.0002073974609375	-0.99456787109375
-0.00020538330078125	-0.9979248046875
-0.000228973388671875	-0.99884033203125
-0.000193359375	-1.0009765625
-0.00022760009765625	-1.00341796875
-0.000203399658203125	-1.005859375
-0.000209564208984375	-1.0076904296875
-0.00022998046875	-1.009521484375
-0.000196563720703125	-1.01226806640625
-0.000235443115234375	-1.015625
-0.00020123291015625	-1.0174560546875
-0.000234588623046875	-1.0198974609375
-0.000207122802734375	-1.0223388671875
-0.000237548828125	-1.02447509765625
-0.000215301513671875	-1.02691650390625
-0.000241302490234375	-1.03057861328125
-0.00022802734375	-1.03271484375
-0.000245391845703125	-1.03485107421875
-0.0002490234375	-1.03973388671875
-0.00024560546875	-1.03973388671875
-0.00028106689453125	-1.04217529296875
-0.0002503662109375	-1.044921875
-0.000290191650390625	-1.04705810546875
-0.00028167724609375	-1.0491943359375
-0.00029901123046875	-1.051025390625
-0.00032159423828125	-1.053466796875
-0.000318817138671875	-1.05865478515625
-0.000360107421875	-1.0589599609375
-0.00034912109375	-1.06201171875
-0.000401611328125	-1.06414794921875
-0.000386962890625	-1.06719970703125
-0.00044830322265625	-1.06903076171875
-0.00043609619140625	-1.06903076171875
-0.00050079345703125	-1.07391357421875
-0.000499267578125	-1.07666015625
-0.0005633544921875	-1.07879638671875
-0.00057403564453125	-1.08154296875
-0.000634765625	-1.08367919921875
-0.00066375732421875	-1.08551025390625
-0.00071533203125	-1.0894775390625
-0.0007781982421875	-1.09100341796875
-0.00080413818359375	-1.09344482421875
-0.0008953857421875	-1.0955810546875
-0.00092010498046875	-1.09710693359375
-0.0010064697265625	-1.10107421875
-0.00106658935546875	-1.10137939453125
-0.00113311767578125	-1.1053466796875
-0.00122772216796875	-1.10809326171875
-0.00127960205078125	-1.1102294921875
-0.00139801025390625	-1.1126708984375
-0.00145233154296875	-1.11846923828125
-0.0015826416015625	-1.116943359375
-0.0016412353515625	-1.1181640625
-0.00177947998046875	-1.12274169921875
-0.00184661865234375	-1.12518310546875
-0.00199432373046875	-1.126708984375
-0.00207183837890625	-1.1309814453125
-0.00222320556640625	-1.13311767578125
-0.00231048583984375	-1.13525390625
-0.002469482421875	-1.13739013671875
-0.00257720947265625	-1.141357421875
-0.00274749755859375	-1.1419677734375
-0.00284515380859375	-1.1444091796875
-0.0030389404296875	-1.1468505859375
-0.00314697265625	-1.14837646484375
-0.003333740234375	-1.15142822265625
-0.00347808837890625	-1.15386962890625
-0.00366607666015625	-1.15570068359375
-0.003785400390625	-1.16119384765625
-0.00401153564453125	-1.1602783203125
-0.00413726806640625	-1.16363525390625
-0.00437103271484375	-1.16607666015625
-0.00450347900390625	-1.1688232421875
-0.0047247314453125	-1.1712646484375
-0.0048980712890625	-1.1761474609375
-0.005120849609375	-1.17523193359375
-0.005303955078125	-1.17767333984375
-0.00546875	-1.18072509765625
-0.005755615234375	-1.18377685546875
-0.005902099609375	-1.18621826171875
-0.0061676025390625	-1.1883544921875
-0.0063507080078125	-1.19140625
-0.0065582275390625	-1.1932373046875
-0.006793212890625	-1.19537353515625
-0.0069915771484375	-1.1993408203125
-0.0072601318359375	-1.19964599609375
-0.007489013671875	-1.20269775390625
-0.0077239990234375	-1.2054443359375
-0.0079437255859375	-1.20758056640625
-0.008258056640625	-1.209716796875
-0.008428955078125	-1.21307373046875
-0.008721923828125	-1.21673583984375
-0.0089202880859375	-1.21734619140625
-0.009246826171875	-1.22039794921875
-0.0094451904296875	-1.22344970703125
-0.0097503662109375	-1.2255859375
-0.0099639892578125	-1.2274169921875
-0.0102264404296875	-1.23016357421875
-0.010546875	-1.2322998046875
-0.0108062744140625	-1.23504638671875
-0.0111419677734375	-1.2371826171875
-0.0113739013671875	-1.239013671875
-0.0116973876953125	-1.24237060546875
-0.01181640625	-1.24420166015625
-0.01214599609375	-1.24755859375
-0.012445068359375	-1.24908447265625
-0.01282958984375	-1.2506103515625
-0.0131378173828125	-1.24908447265625
-0.013421630859375	-1.25762939453125
-0.013629150390625	-1.25946044921875
-0.0137969970703125	-1.25946044921875
-0.0141571044921875	-1.263427734375
-0.0143798828125	-1.26678466796875
-0.014703369140625	-1.26861572265625
-0.0151641845703125	-1.27166748046875
-0.0154937744140625	-1.2744140625
-0.0155609130859375	-1.2762451171875
-0.0159210205078125	-1.2786865234375
-0.016241455078125	-1.28082275390625
-0.016522216796875	-1.28326416015625
-0.01693115234375	-1.285400390625
-0.01729736328125	-1.28875732421875
-0.0176300048828125	-1.29119873046875
-0.0178680419921875	-1.29302978515625
-0.0180816650390625	-1.29669189453125
-0.01839599609375	-1.29791259765625
-0.018890380859375	-1.3006591796875
-0.019195556640625	-1.3031005859375
-0.019482421875	-1.3067626953125
-0.019720458984375	-1.3079833984375
-0.0198822021484375	-1.3104248046875
-0.020428466796875	-1.31256103515625
-0.02052001953125	-1.31561279296875
-0.0211181640625	-1.3177490234375
-0.0212738037109375	-1.31988525390625
-0.0218475341796875	-1.32293701171875
-0.0220184326171875	-1.324462890625
-0.0221954345703125	-1.328125
-0.0229705810546875	-1.3287353515625
-0.0229522705078125	-1.3330078125
-0.0235504150390625	-1.334228515625
-0.0235137939453125	-1.33636474609375
-0.0238067626953125	-1.33880615234375
-0.0243621826171875	-1.3427734375
-0.0244598388671875	-1.343994140625
-0.0250762939453125	-1.34674072265625
-0.02557373046875	-1.34918212890625
-0.0254791259765625	-1.3519287109375
-0.0258056640625	-1.35498046875
-0.02652587890625	-1.35589599609375
-0.0267425537109375	-1.357421875
-0.027130126953125	-1.36260986328125
-0.02755126953125	-1.36444091796875
-0.027874755859375	-1.3665771484375
-0.0284088134765625	-1.36932373046875
-0.0282379150390625	-1.36932373046875
-0.0286285400390625	-1.37359619140625
-0.0288848876953125	-1.37725830078125
-0.0293701171875	-1.3787841796875
-0.02974853515625	-1.38153076171875
-0.0300140380859375	-1.38336181640625
-0.0302459716796875	-1.3861083984375
-0.030914306640625	-1.3885498046875
-0.0309722900390625	-1.39068603515625
-0.0311981201171875	-1.39373779296875
-0.032135009765625	-1.395263671875
-0.0322845458984375	-1.39556884765625
-0.0328155517578125	-1.40106201171875
