WE(1).Current (A)	WE(1).Potential (V)
-0.00015252685546875	-0.95184326171875
-0.000132110595703125	-0.95458984375
-0.0001143798828125	-0.95672607421875
-0.00011431884765625	-0.9588623046875
-0.00010491943359375	-0.9613037109375
-0.00010845947265625	-0.96466064453125
-0.000101226806640625	-0.96649169921875
-0.000106292724609375	-0.9686279296875
-0.000100616455078125	-0.9710693359375
-0.00010455322265625	-0.97381591796875
-0.000102630615234375	-0.9765625
-0.000102264404296875	-0.9783935546875
-0.0001060791015625	-0.980224609375
-0.000102203369140625	-0.98358154296875
-0.000109344482421875	-0.9857177734375
-0.0001055908203125	-0.98846435546875
-0.000111541748046875	-0.9906005859375
-0.00011212158203125	-0.99334716796875
-0.0001123046875	-0.99578857421875
-0.00011932373046875	-0.99822998046875
-0.00011749267578125	-1.0003662109375
-0.00012603759765625	-1.0028076171875
-0.0001287841796875	-1.0052490234375
-0.000131378173828125	-1.0076904296875
-0.000141998291015625	-1.00982666015625
-0.000142791748046875	-1.01287841796875
-0.000155609130859375	-1.0150146484375
-0.0001597900390625	-1.01715087890625
-0.0001715087890625	-1.01959228515625
-0.000181365966796875	-1.02203369140625
-0.0001925048828125	-1.0247802734375
-0.000209686279296875	-1.02783203125
-0.000220306396484375	-1.02996826171875
-0.00024456787109375	-1.03240966796875
-0.000259185791015625	-1.03485107421875
-0.000280426025390625	-1.03729248046875
-0.000309967041015625	-1.03973388671875
-0.00033258056640625	-1.04217529296875
-0.000366180419921875	-1.04461669921875
-0.00039825439453125	-1.04705810546875
-0.0004310302734375	-1.0491943359375
-0.000476104736328125	-1.0516357421875
-0.0005126953125	-1.05438232421875
-0.0005645751953125	-1.0565185546875
-0.00060821533203125	-1.0589599609375
-0.0006671142578125	-1.0614013671875
-0.0007196044921875	-1.06414794921875
-0.0007843017578125	-1.06597900390625
-0.00084747314453125	-1.0693359375
-0.0009161376953125	-1.07086181640625
-0.00098785400390625	-1.0736083984375
-0.00106201171875	-1.07574462890625
-0.00114654541015625	-1.0784912109375
-0.00122589111328125	-1.08062744140625
-0.00131927490234375	-1.08367919921875
-0.0014056396484375	-1.08551025390625
-0.00150665283203125	-1.0882568359375
-0.0015997314453125	-1.0906982421875
-0.00170684814453125	-1.0931396484375
-0.0018048095703125	-1.0955810546875
-0.00191680908203125	-1.0980224609375
-0.00202484130859375	-1.10076904296875
-0.00215087890625	-1.1029052734375
-0.00226409912109375	-1.1053466796875
-0.00239013671875	-1.1077880859375
-0.002518310546875	-1.11053466796875
-0.00265045166015625	-1.11236572265625
-0.00278564453125	-1.1151123046875
-0.00291717529296875	-1.11724853515625
-0.0030609130859375	-1.12030029296875
-0.00320343017578125	-1.1224365234375
-0.00335235595703125	-1.1248779296875
-0.0034918212890625	-1.12701416015625
-0.00364593505859375	-1.13006591796875
-0.00379852294921875	-1.13189697265625
-0.003956298828125	-1.134033203125
-0.004127197265625	-1.13677978515625
-0.00428314208984375	-1.13922119140625
-0.0044415283203125	-1.14166259765625
-0.00460296630859375	-1.14410400390625
-0.00477996826171875	-1.1468505859375
-0.00494659423828125	-1.148681640625
-0.0051239013671875	-1.1517333984375
-0.0053070068359375	-1.153564453125
-0.0054779052734375	-1.15631103515625
-0.0056549072265625	-1.1590576171875
-0.005841064453125	-1.16180419921875
-0.00604248046875	-1.16363525390625
-0.006219482421875	-1.16607666015625
-0.0064117431640625	-1.16851806640625
-0.006597900390625	-1.1712646484375
-0.0067962646484375	-1.1737060546875
-0.0069976806640625	-1.1761474609375
-0.007208251953125	-1.177978515625
-0.0073974609375	-1.18072509765625
-0.00760498046875	-1.182861328125
-0.0077911376953125	-1.1859130859375
-0.0079742431640625	-1.1883544921875
-0.008209228515625	-1.1907958984375
-0.0083953857421875	-1.19293212890625
-0.00860595703125	-1.1956787109375
-0.0087921142578125	-1.19781494140625
-0.00902099609375	-1.20086669921875
-0.0092498779296875	-1.20269775390625
-0.0094482421875	-1.2054443359375
-0.0096435546875	-1.2078857421875
-0.0098724365234375	-1.209716796875
-0.010076904296875	-1.2127685546875
-0.0103057861328125	-1.2152099609375
-0.010516357421875	-1.21826171875
-0.01080322265625	-1.21978759765625
-0.010986328125	-1.2225341796875
-0.0112701416015625	-1.2249755859375
-0.011444091796875	-1.2274169921875
-0.0116363525390625	-1.2298583984375
-0.0119171142578125	-1.2322998046875
-0.0121063232421875	-1.23443603515625
-0.012347412109375	-1.23748779296875
-0.01263427734375	-1.239013671875
-0.0128387451171875	-1.24176025390625
-0.0130279541015625	-1.2445068359375
-0.0133209228515625	-1.24664306640625
-0.0135162353515625	-1.2493896484375
-0.013763427734375	-1.251220703125
-0.0140838623046875	-1.2548828125
-0.0142486572265625	-1.256103515625
-0.014501953125	-1.25885009765625
-0.014794921875	-1.26129150390625
-0.0149932861328125	-1.2640380859375
-0.015167236328125	-1.265869140625
-0.0154693603515625	-1.26922607421875
-0.01573486328125	-1.27105712890625
